tick, CC, CD, DC, DD
524,267,394,214,286
525,265,398,219,276
526,265,406,216,284
527,280,413,214,276
528,284,405,213,282
529,285,406,215,287
530,293,419,219,289
531,293,431,212,290
532,301,418,220,298
533,308,430,215,290
534,304,439,221,294
535,315,433,213,295
536,307,446,204,291
537,301,430,200,295
538,303,427,202,291
539,298,424,200,292
540,300,427,196,292
541,299,419,194,284
542,301,408,196,292
543,303,395,191,306
544,296,406,190,310
545,284,415,194,308
546,267,421,188,324
547,262,426,185,322
548,279,422,186,319
549,282,419,182,320
550,289,434,195,317
551,286,438,194,313
552,286,448,187,312
553,272,453,189,314
554,270,435,197,319
555,273,429,195,311
556,272,418,201,312
557,276,400,198,316
558,274,396,192,311
559,268,397,191,305
560,277,407,193,301
561,267,395,191,298
562,266,391,182,298
563,266,391,179,300
564,268,393,175,295
565,253,392,174,292
566,252,400,173,295
567,255,388,180,295
568,255,384,183,289
569,257,389,174,292
570,252,395,177,286
571,256,395,171,293
572,252,400,160,283
573,250,411,173,299
574,248,403,171,308
575,253,413,156,297
576,248,419,165,285
577,262,422,168,274
578,256,411,162,285
579,266,405,163,289
580,282,426,170,299
581,279,432,170,291
582,285,421,178,292
583,285,418,179,295
584,291,411,175,306
585,288,412,177,312
586,288,417,174,302
587,284,414,177,293
588,276,416,181,279
589,279,409,178,279
590,282,413,186,287
591,285,406,176,293
592,272,416,174,296
593,268,417,171,290
594,268,416,176,295
595,275,416,176,287
596,273,401,182,295
597,264,403,183,288
598,268,399,177,284
599,264,394,179,289
600,256,391,180,291
601,259,393,182,291
602,259,395,181,280
603,264,396,181,275
604,275,393,181,298
605,282,398,181,305
606,291,384,189,320
607,296,379,180,321
608,289,384,177,329
609,276,390,190,326
610,277,399,192,324
611,273,415,186,322
612,266,419,186,334
613,266,411,182,344
614,257,391,180,335
615,246,393,179,328
616,245,384,186,347
617,251,386,184,349
618,273,384,187,334
619,264,382,191,343
620,259,385,187,325
621,259,379,193,329
622,262,383,187,331
623,264,392,177,337
624,264,392,187,344
625,265,391,190,347
626,277,398,196,356
627,290,399,194,362
628,284,399,195,370
629,286,406,190,377
630,275,396,186,376
631,277,387,184,379
632,285,376,185,376
633,295,375,172,393
634,303,394,173,407
635,299,386,174,399
636,305,404,170,392
637,298,413,169,397
638,294,404,168,397
639,298,395,160,390
640,289,394,163,386
641,286,386,166,370
642,262,382,173,371
643,269,402,174,381
644,272,407,178,377
645,262,400,174,379
646,271,397,187,370
647,279,401,187,382
648,271,402,194,379
649,261,435,180,364
650,263,428,184,359
651,258,416,188,363
652,261,417,194,377
653,249,413,196,378
654,251,407,201,382
655,267,403,192,373
656,265,432,200,367
657,262,431,202,368
658,257,432,205,375
659,264,433,205,373
660,255,423,199,360
661,265,419,201,364
662,260,406,197,344
663,263,414,187,340
664,263,424,188,348
665,262,427,180,347
666,252,436,181,357
667,241,425,182,363
668,238,421,176,351
669,228,416,168,366
670,222,405,167,374
671,231,403,171,371
672,232,410,175,371
673,228,430,172,357
674,226,406,164,361
675,238,403,173,344
676,227,413,168,352
677,231,423,170,345
678,233,431,163,343
679,239,439,166,336
680,236,428,171,346
681,226,435,164,348
682,231,443,153,345
683,236,461,165,336
684,234,466,172,342
685,232,465,178,341
686,229,469,173,348
687,231,474,164,359
688,228,478,153,351
689,210,490,156,346
690,209,489,157,350
691,208,491,163,346
692,203,477,163,344
693,202,458,162,347
694,201,461,162,345
695,203,469,158,345
696,208,455,162,353
697,209,460,152,359
698,212,446,148,365
699,217,441,155,364
700,217,439,154,383
701,214,438,150,381
702,208,427,159,386
703,210,427,159,393
704,216,424,155,398
705,225,416,160,385
706,214,425,154,356
707,210,427,146,346
708,215,427,144,353
709,222,438,145,345
710,222,426,144,338
711,227,441,144,333
712,226,447,146,335
713,232,446,137,330
714,239,449,147,337
715,234,453,147,339
716,229,458,141,333
717,232,449,143,339
718,225,449,146,332
719,224,436,144,331
720,222,443,153,327
721,211,451,159,331
722,201,461,161,336
723,201,463,169,320
724,202,461,165,325
725,207,472,164,322
726,205,470,162,320
727,212,487,153,312
728,206,485,156,308
729,207,490,163,305
730,209,464,157,311
731,206,473,155,302
732,196,486,155,292
733,189,482,150,289
734,185,493,149,292
735,187,492,147,302
736,193,477,146,294
737,186,467,147,294
738,182,476,145,288
739,186,483,146,290
740,186,477,149,291
741,189,488,155,290
742,193,486,151,288
743,194,493,157,290
744,196,495,154,288
745,192,475,156,279
746,188,484,159,279
747,182,491,159,274
748,188,502,165,273
749,199,501,164,268
750,196,510,161,260
751,196,514,153,252
752,197,528,143,254
753,187,522,147,261
754,181,524,147,256
755,187,524,147,258
756,186,520,160,263
757,189,529,159,264
758,189,530,161,266
759,191,540,168,271
760,178,540,172,273
761,190,538,168,269
762,196,526,171,261
763,189,497,168,253
764,195,480,170,262
765,188,489,170,260
766,190,523,165,264
767,203,534,163,265
768,199,545,162,264
769,194,524,163,263
770,191,524,172,255
771,182,525,174,270
772,190,523,162,269
773,194,525,159,273
774,202,537,167,272
775,200,546,166,277
776,200,559,168,279
777,199,568,167,275
778,191,548,169,289
779,186,557,161,293
780,181,543,161,286
781,190,540,156,288
782,184,533,159,283
783,186,528,164,286
784,185,531,176,286
785,182,535,169,291
786,181,530,173,291
787,186,525,173,293
788,184,520,172,290
789,176,515,169,291
790,169,529,165,283
791,172,543,168,278
792,169,548,165,272
793,168,546,166,270
794,162,559,170,264
795,153,550,168,252
796,133,551,171,253
797,134,567,175,250
798,135,570,179,259
799,134,553,185,258
800,129,543,184,252
801,131,551,188,247
802,137,540,197,259
803,131,537,193,256
804,130,546,196,250
805,130,551,194,247
806,137,546,182,237
807,143,578,183,234
808,150,570,191,225
809,147,556,198,228
810,144,537,205,230
811,145,533,190,229
812,144,550,188,225
813,150,546,189,226
814,141,561,186,231
815,142,550,185,237
816,144,577,180,237
817,145,573,180,232
818,142,582,182,234
819,145,585,174,234
820,139,577,178,236
821,136,564,173,239
822,136,557,174,235
823,140,576,170,228
824,136,580,161,238
825,133,574,153,242
826,134,577,147,252
827,123,582,147,249
828,117,580,151,258
829,121,583,154,262
830,122,588,149,257
831,125,580,147,263
832,139,582,155,262
833,143,572,156,262
834,146,567,155,259
835,148,565,153,254
836,151,553,152,247
837,149,553,148,233
838,150,564,149,238
839,156,561,135,238
840,160,569,131,236
841,162,569,132,251
842,160,571,127,247
843,174,572,132,259
844,172,585,134,259
845,165,578,142,248
846,173,591,142,251
847,178,593,143,259
848,183,591,149,262
849,181,580,159,261
850,179,571,152,276
851,180,581,154,267
852,175,580,162,261
853,169,592,158,253
854,165,598,159,249
855,162,580,164,260
856,156,576,164,257
857,162,565,154,264
858,160,562,152,264
859,158,562,158,267
860,160,564,155,262
861,162,573,149,263
862,152,572,144,266
863,147,570,140,273
864,152,579,150,273
865,149,551,147,282
866,145,555,151,291
867,141,573,146,291
868,142,574,148,297
